,Clase,Sobrevivió,Nombre,Sexo,Ticket,Tarifa
0,1,1,"Allen, Miss. Elisabeth Walton",Mujer,24160,211.3375
1,1,1,"Allison, Master. Hudson Trevor",Hombre,113781,151.55
2,1,0,"Allison, Miss. Helen Loraine",Mujer,113781,151.55
3,1,0,"Allison, Mr. Hudson Joshua Creighton",Hombre,113781,151.55
4,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Mujer,113781,151.55
5,1,1,"Anderson, Mr. Harry",Hombre,19952,26.55
6,1,1,"Andrews, Miss. Kornelia Theodosia",Mujer,13502,77.9583
7,1,0,"Andrews, Mr. Thomas Jr",Hombre,112050,0.0
8,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Mujer,11769,51.4792
9,1,0,"Artagaveytia, Mr. Ramon",Hombre,PC 17609,49.5042
10,1,0,"Astor, Col. John Jacob",Hombre,PC 17757,227.525
11,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Mujer,PC 17757,227.525
12,1,1,"Aubart, Mme. Leontine Pauline",Mujer,PC 17477,69.3
13,1,1,"Barber, Miss. Ellen ""Nellie""",Mujer,19877,78.85
14,1,1,"Barkworth, Mr. Algernon Henry Wilson",Hombre,27042,30.0
15,1,0,"Baumann, Mr. John D",Hombre,PC 17318,25.925
16,1,0,"Baxter, Mr. Quigg Edmond",Hombre,PC 17558,247.5208
17,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Mujer,PC 17558,247.5208
18,1,1,"Bazzani, Miss. Albina",Mujer,11813,76.2917
19,1,0,"Beattie, Mr. Thomson",Hombre,13050,75.2417
20,1,1,"Beckwith, Mr. Richard Leonard",Hombre,11751,52.5542
21,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Mujer,11751,52.5542
22,1,1,"Behr, Mr. Karl Howell",Hombre,111369,30.0
23,1,1,"Bidois, Miss. Rosalie",Mujer,PC 17757,227.525
24,1,1,"Bird, Miss. Ellen",Mujer,PC 17483,221.7792
25,1,0,"Birnbaum, Mr. Jakob",Hombre,13905,26.0
26,1,1,"Bishop, Mr. Dickinson H",Hombre,11967,91.0792
27,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",Mujer,11967,91.0792
28,1,1,"Bissette, Miss. Amelia",Mujer,PC 17760,135.6333
29,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Hombre,110564,26.55
30,1,0,"Blackwell, Mr. Stephen Weart",Hombre,113784,35.5
31,1,1,"Blank, Mr. Henry",Hombre,112277,31.0
32,1,1,"Bonnell, Miss. Caroline",Mujer,36928,164.8667
33,1,1,"Bonnell, Miss. Elizabeth",Mujer,113783,26.55
34,1,0,"Borebank, Mr. John James",Hombre,110489,26.55
35,1,1,"Bowen, Miss. Grace Scott",Mujer,PC 17608,262.375
36,1,1,"Bowerman, Miss. Elsie Edith",Mujer,113505,55.0
37,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",Hombre,111427,26.55
38,1,0,"Brady, Mr. John Bertram",Hombre,113054,30.5
39,1,0,"Brandeis, Mr. Emil",Hombre,PC 17591,50.4958
40,1,0,"Brewe, Dr. Arthur Jackson",Hombre,112379,39.6
